2,4,6,8,10,12,14,15,17,19,39,58
4,7,11,15,19,22,26,30,33,37,74,111
5,11,16,21,27,32,37,43,48,53,107,160
7,14,20,27,34,41,48,54,61,68,136,204
8,16,25,33,41,49,57,65,73,82,163,244
9,19,28,37,47,56,65,75,84,93,187,280
10,21,31,42,52,62,73,83,94,104,208,312
11,23,34,46,57,68,80,91,102,114,228,341
12,24,37,49,61,73,86,98,110,122,245,367
13,26,39,52,65,78,91,104,117,130,260,390
14,27,41,55,68,82,96,110,123,137,274,412
14,29,43,57,72,86,101,115,129,144,288,431
15,30,45,60,75,90,105,120,136,151,300,451
16,31,47,63,79,94,110,126,141,157,314,471
16,33,49,66,82,98,115,132,148,164,329,493
17,34,51,69,86,103,120,138,155,172,344,516
18,36,55,73,91,109,127,146,164,182,364,545
20,39,59,79,98,118,138,157,177,196,393,589
