0,0,0,0,1,1,1,1,1,1,2,3,
1,1,2,2,3,3,4,4,5,5,10,14
1,2,3,5,6,7,8,9,10,11,22,32
2,4,6,8,10,12,14,16,18,21,39,58
3,6,10,13,16,19,22,26,29,32,62,91
5,9,14,18,23,28,32,37,41,46,89,131
6,12,19,25,31,37,43,50,56,62,120,177
8,16,24,32,40,48,56,64,72,80,155,228
10,20,30,40,50,60,70,80,90,100,193,286
12,24,36,48,61,73,85,97,109,121,236,349
14,29,43,57,71,86,100,115,129,143,280,415
17,33,50,67,83,100,117,133,150,166,325,484
19,38,57,76,95,114,133,151,170,190,372,553
21,42,64,85,106,128,149,171,192,213,418,622
23,47,70,94,117,141,164,188,211,235,463,689
25,51,77,103,128,154,179,205,231,256,505,752
27,55,82,110,137,164,191,219,246,274,540,804
28,57,85,113,141,170,198,226,254,283,559,835
