0,0,0,0,0,0,0,1,1,1,2,2
0,1,1,1,1,2,2,2,3,3,6,9
1,1,2,3,3,4,5,5,6,7,13,20
1,2,3,5,6,7,8,9,10,11,23,34
2,4,5,7,9,11,12,14,16,18,36,53
3,5,8,10,13,15,18,20,23,25,51,76
3,7,10,14,17,20,24,27,30,34,68,102
4,9,13,17,22,26,30,35,39,43,87,130
5,11,16,21,26,32,37,42,48,53,106,159
6,12,18,24,31,37,43,49,55,61,123,184
7,14,20,27,35,42,48,55,62,69,138,207
8,15,23,30,38,46,53,61,69,76,153,229
8,16,25,33,42,50,58,67,75,84,167,251
9,18,27,36,45,54,63,73,82,91,182,273
10,20,30,40,49,59,69,79,89,99,198,297
11,21,32,43,54,65,75,86,97,108,215,323
12,24,36,48,59,71,83,95,107,119,237,355
13,27,40,53,67,80,94,107,120,134,267,401
