2,4,6,8,10,12,14,16,18,20,39,59
4,8,11,15,19,23,26,30,34,38,76,113
5,11,16,22,27,33,38,44,49,54,109,163
7,14,21,28,35,42,49,56,63,69,139,208
8,17,25,33,42,50,58,67,75,83,166,249
9,19,29,38,48,57,67,76,86,95,191,286
11,21,32,42,53,64,74,85,96,106,212,319
12,23,35,46,58,70,81,93,105,116,232,348
13,25,37,50,62,75,87,100,112,125,250,375
13,27,40,53,66,80,93,106,119,133,265,398
14,28,42,56,70,84,98,112,126,140,280,420
15,30,44,58,73,88,103,117,132,147,293,440
15,31,46,61,77,92,107,123,138,154,306,460
16,32,48,64,80,96,112,128,144,160,321,480
17,33,50,67,84,100,117,134,151,167,335,503
17,35,53,70,88,105,123,140,158,175,351,526
19,37,56,74,93,111,130,149,167,186,371,556
20,40,60,80,100,120,140,160,180,200,401,601
