0,0,0,0,0,1,1,1,1,1,2,3
0,1,1,2,2,2,3,3,3,4,7,11
1,2,3,3,4,5,6,7,8,9,17,26
2,3,5,6,8,10,11,13,14,16,32,48
3,5,8,10,13,16,18,21,24,26,52,79
4,8,12,16,20,24,27,31,35,39,79,118
6,11,17,22,28,33,39,45,50,56,112,168
8,15,23,30,38,45,53,61,68,76,152,228
10,20,30,40,50,60,70,80,90,100,201,302
13,26,39,52,65,78,91,104,117,129,259,389
16,33,49,65,81,97,113,130,146,162,324,487
20,39,59,79,99,119,139,158,178,197,396,594
24,48,71,94,118,141,165,189,213,236,472,709
28,55,83,111,139,166,194,222,249,277,554,833
32,64,96,128,160,192,224,257,289,321,641,963
37,73,110,147,184,220,257,294,331,367,735,1103
42,84,125,167,209,250,292,334,376,418,835,1253
48,97,146,194,242,291,340,388,436,485,970,1455
